location,size,rooms,land_area,description,seller,price
Mespelbrunn (Mespelbrunn),290 m²,10 Zi.,1802 m² Grundstück,Viel Raum zum Wohnen - viel Platz für Freizeit!,ELK-IMMOBILIEN GmbH,495.000 €
"Glockenstr. 24f, Bayreuth (Glocke)",116.3 m²,4 Zi.,138.34 m² Grundstück,"Attraktives Reihenmittelhaus mit Garten, Stellplatz und Carport",Andreas Ulrich Immobilien,390.000 €
München (Feldmoching-Hasenbergl),120 m²,4 Zi.,413 m² Grundstück,Das könnte Ihre neues Haus werden - Freisthendes Einfamilienhaus im Stadtteil Feldmoching,Gebelein Immobilien GmbH,1.460.000 €
Kulmbach (Burghaig),220 m²,8 Zi.,970 m² Grundstück,"*** Ein Highlight, Fernsicht inclusive***",VR Bank Oberfranken Mitte eG,598.500 €
Ottensoos (Ottensoos),306.3 m²,7 Zi.,1200 m² Grundstück,"Ihr Traum könnte wahr werden... Wohn- und Geschäftshaus in Ottensoos,  Geschäftsübernahme möglich",Wüstenrot Immobilien,auf Anfrage
Bamberg (Bamberg),183 m²,,150 m² Grundstück,Mehrgenerationenhaus aus der Gründerzeit mit 4 abgeschlossenen Wohneinheiten in Bamberg-Ost,Wüstenrot Immobilien,auf Anfrage
Elsenfeld (Eichelsbach),177 m²,6 Zi.,929 m² Grundstück,Ruhig und naturnah wohnen - modernisiertes Wohnhaus mit sonnigem Garten,ELK-IMMOBILIEN GmbH,475.000 €
Rödental / Kipfendorf (Kipfendorf),92 m²,4 Zi.,625 m² Grundstück,Idyllischer geht es nicht!  Freistehendes Einfamilienwohnhaus in Rödental-Thierach,Wüstenrot Immobilien,260.000 €
"Riemenschneiderstr. 16b, Fürth (Eigenes Heim)",81 m²,3 Zi.,141 m² Grundstück,Attraktives Reihen Mittelhaus mit tollem Garten und Garage für Kapitalanleger ,Andreas Ulrich Immobilien,375.000 €
Fürth (Ronhof),115 m²,5 Zi.,177 m² Grundstück,Ruhig und gemütlich Leben mit Südwest Ausrichtung,RE/MAX Stein - Nürnberg - Fürth - Schwabach - Ansbach,469.000 €
München (Thalk.Obersendl.-Forsten-Fürstenr.-Solln),121.1 m²,4 Zi.,365 m² Grundstück,"Ruhig gelegene Doppelhaushälfte mit großzügigem, sonnigen Südwest-Garten in Forstenried",SIS-Sparkassen-Immobilien-Service GmbH,1.098.000 €
Markt Taschendorf (Markt Taschendorf),95 m²,,738 m² Grundstück,"Einfamilienhaus in 91480 Markt Taschendorf, Steigerwaldstr.",Argetra GmbH,350.000 €
Straßlach-Dingharting (Straßlach),233 m²,8 Zi.,870 m² Grundstück,GOOD VIBES ONLY,Quartier Acht - Exklusive Immobilien GmbH &amp; Co. KG,3.990.000 €
Schwanstetten (Leerstetten),120 m²,5 Zi.,249.61 m² Grundstück,"Ein Rohdiamant in ruhiger, sonniger Waldrandlage von Leerstetten",Pekona Immobilien GmbH,299.000 €
Gmund am Tegernsee,340 m²,10 Zi.,1724 m² Grundstück,Gmund am Tegernsee: Attraktives Anwesen auf parkähnlichem Areal mit großem Entwicklungspotential,DALEXIS ImmobilienService GmbH,1.830.000 €
Lautertal (Tiefenlauter),120 m²,4 Zi.,1128 m² Grundstück,Modernisiertes Einfamilienhaus im Grünen,Immobilien Reinhardt GmbH,315.000 €
Baierbach (Unterhausbach),150 m²,4.5 Zi.,2500 m² Grundstück,Baierbach: Einfamilienhaus mit 2 Grundstücken - sofort frei,Mr. Lodge GmbH - Wohnen auf Zeit und Immobilienverkauf,890.000 €
Regensburg (Konradsiedlung-Wutzlhofen),114.44 m²,4 Zi.,124 m² Grundstück,Wohnen im wunderschönen Regensburg - Reihenmittelhaus in Sallern-Gallingkofen,Sparkasse im Landkreis Cham i.V. der Sparkassen-Immobilien-Vermitttlungs- GmbH &amp; Co KG,499.000 €
Karlsfeld,100 m²,3 Zi.,230 m² Grundstück,Gut vermietete Doppelhaushälfte in bester Lage von Karlsfeld,Zenker &amp; Günsch Immobilien GbR,630.000 €
Rohrbach (Waal),235 m²,4.5 Zi.,5133 m² Grundstück,Traumhaftes Mehrgenerationengrundstück mit Architektenhaus und unverbaubarem Blick in die Hallertau,SIS-Sparkassen-Immobilien-Service GmbH,1.474.000 €
München (Sendling-Westpark),473 m²,14 Zi.,460 m² Grundstück,RENDITEPOTENZIAL SUCHT KREATIVEN INVESTOR,EGGER &amp; GRAF Immobilien GmbH,3.098.000 €
Bamberg (Gartenstadt),112 m²,,548 m² Grundstück,"Doppelhaushälfte in 96052 Bamberg, Benkertstr.",Argetra GmbH,412.300 €
Markt Indersdorf (Markt Indersdorf),215 m²,,1063 m² Grundstück,"Einfamilienhaus mit Einliegerwohnung in 85229 Markt Indersdorf, Weiherweg",Argetra GmbH,632.500 €
Eckental (Brand),212 m²,,811 m² Grundstück,"Zweifamilienhaus in 90542 Eckental, Dahlienstr.",Argetra GmbH,485.000 €
Hutthurm (Hutthurm),180 m²,6 Zi.,374 m² Grundstück,Einfamilienhaus in Hutthurm,Passauer Immobilien Resch &amp; Söhne GmbH seit 1968,380.000 €
Rückersdorf (Entensee),150 m²,5 Zi.,360 m² Grundstück," EFH KfW 40  m. voll unter Kellert Garage, Terrasse u. Grundstück in Top Lage, sehr ruhig in Rückersdorf",Scheuschner-Projekt,899.000 €
Landshut (Münchnerau),169 m²,7 Zi.,615 m² Grundstück,*** Großzügiges Ein- Zweifamilienhaus in beliebter &amp; familienfreundlicher Lage ***,Immobilien Hofmann GmbH &amp; Co. KG,673.500 €
Roth (Pfaffenhofen),211 m²,14 Zi.,679 m² Grundstück,Ein 2 - 3 Familienhaus mit viel Platz für die ganze Familie!  Jetzt ist es Zeit für Roth!,SpardaImmobilienWelt GmbH,500.000 €
Egenhausen (Egenhausen),244 m²,8 Zi.,1607 m² Grundstück,Hier können Sie Ihre Träume verwirklichen,Engel &amp; Völkers Schweinfurt,495.000 €
